date,exposure,r_v30,r_v31,qqq_ret
1986-02-20,1.0000,0.00221000,0.00221000,0.00221000
1986-02-21,1.0000,0.00860000,0.00860000,0.00860000
1986-02-24,1.0000,-0.00667000,-0.00667000,-0.00667000
1986-02-25,1.0000,-0.00568000,-0.00568000,-0.00568000
1986-02-26,1.0000,-0.00374000,-0.00374000,-0.00374000
1986-02-27,1.0000,0.01190000,0.01190000,0.01190000
1986-02-28,1.0000,-0.00069000,-0.00069000,-0.00069000
1986-03-03,1.0000,-0.00485000,-0.00485000,-0.00485000
1986-03-04,1.0000,0.00578000,0.00578000,0.00578000
1986-03-05,1.0000,-0.00211000,-0.00211000,-0.00211000
1986-03-06,1.0000,0.00398000,0.00398000,0.00398000
1986-03-07,1.0000,-0.00062000,-0.00062000,-0.00062000
1986-03-10,1.0000,0.01228000,0.01228000,0.01228000
1986-03-11,1.0000,0.02045000,0.02045000,0.02045000
1986-03-12,1.0000,0.00880000,0.00880000,0.00880000
1986-03-13,1.0000,0.00268000,0.00268000,0.00268000
1986-03-14,1.0000,-0.00004000,-0.00004000,-0.00004000
1986-03-17,1.0000,-0.00430000,-0.00430000,-0.00430000
1986-03-18,1.0000,0.00863000,0.00863000,0.00863000
1986-03-19,1.0000,-0.00099000,-0.00099000,-0.00099000
1986-03-20,1.0000,0.00223000,0.00223000,0.00223000
1986-03-21,1.0000,0.00141000,0.00141000,0.00141000
1986-03-24,1.0000,-0.00616000,-0.00616000,-0.00616000
1986-03-25,1.0000,0.00271000,0.00271000,0.00271000
1986-03-26,1.0000,-0.00154000,-0.00154000,-0.00154000
1986-03-27,1.0000,0.00763000,0.00763000,0.00763000
1986-03-31,1.0000,0.00329000,0.00329000,0.00329000
1986-04-01,1.0000,-0.00273000,-0.00273000,-0.00273000
1986-04-02,1.0000,0.00319000,0.00319000,0.00319000
1986-04-03,1.0000,-0.00139000,-0.00139000,-0.00139000
1986-04-04,1.0000,-0.01124000,-0.01124000,-0.01124000
1986-04-07,1.0000,-0.00664000,-0.00664000,-0.00664000
1986-04-08,1.0000,0.01971000,0.01971000,0.01971000
1986-04-09,1.0000,0.00086000,0.00086000,0.00086000
1986-04-10,1.0000,0.01821000,0.01821000,0.01821000
1986-04-11,1.0000,0.00595000,0.00595000,0.00595000
1986-04-14,1.0000,0.00828000,0.00828000,0.00828000
1986-04-15,1.0000,0.00649000,0.00649000,0.00649000
1986-04-16,1.0000,0.02568000,0.02568000,0.02568000
1986-04-17,1.0000,0.00103000,0.00103000,0.00103000
1986-04-18,1.0000,-0.00875000,-0.00875000,-0.00875000
1986-04-21,1.0000,0.00551000,0.00551000,0.00551000
1986-04-22,1.0000,-0.00417000,-0.00417000,-0.00417000
1986-04-23,1.0000,-0.00251000,-0.00251000,-0.00251000
1986-04-24,1.0000,0.01523000,0.01523000,0.01523000
1986-04-25,1.0000,0.00381000,0.00381000,0.00381000
1986-04-28,1.0000,-0.00347000,-0.00347000,-0.00347000
1986-04-29,1.0000,-0.01030000,-0.01030000,-0.01030000
1986-04-30,1.0000,-0.02108000,-0.02108000,-0.02108000
1986-05-01,1.0000,-0.00453000,-0.00453000,-0.00453000
1986-05-02,1.0000,0.00524000,0.00524000,0.00524000
1986-05-05,1.0000,0.01376000,0.01376000,0.01376000
1986-05-06,1.0000,-0.00007000,-0.00007000,-0.00007000
1986-05-07,1.0000,-0.00551000,-0.00551000,-0.00551000
1986-05-08,1.0000,0.00582000,0.00582000,0.00582000
